"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.660954172E-2,-2.017803955E-1,9.822124786E0,5.921685791E-1,9.842027955E0
2.660554170E-2,-2.519261169E-1,9.947414246E0,4.493655396E-1,9.960745270E0
3.660254169E-2,-3.350033569E-1,1.001731888E1,3.608995056E-1,1.002941440E1
4.659854167E-2,-3.995191956E-1,1.003632935E1,3.077600098E-1,1.004899192E1
5.659454176E-2,-4.309538269E-1,1.001776794E1,3.074606323E-1,1.003174600E1
6.659154175E-2,-3.977229309E-1,1.001372635E1,3.775149536E-1,1.002872955E1
7.658754173E-2,-3.514691162E-1,1.001133133E1,4.794529724E-1,1.002896608E1
8.658354171E-2,-2.871029663E-1,1.002091141E1,6.146218872E-1,1.004384655E1
9.658054169E-2,-2.854563904E-1,9.988728333E0,6.881190491E-1,1.001647078E1
1.065765417E-1,-3.135978699E-1,9.914333038E0,7.488926697E-1,9.947521473E0
1.165725418E-1,-3.221301270E-1,9.825867004E0,7.839198303E-1,9.862350658E0
1.265695418E-1,-3.635939026E-1,9.740993500E0,8.180488586E-1,9.782042671E0
1.365655417E-1,-3.772155762E-1,9.699978790E0,8.729846191E-1,9.746485637E0
1.465615417E-1,-4.370910645E-1,9.677375793E0,8.961863708E-1,9.728607344E0
1.565585417E-1,-5.284011841E-1,9.641749878E0,9.014254761E-1,9.698201710E0
1.665545417E-1,-6.068380737E-1,9.598190460E0,8.967851257E-1,9.659075324E0
1.765505418E-1,-6.524931335E-1,9.579778748E0,9.032217407E-1,9.644361962E0
1.865475418E-1,-6.029461670E-1,9.588311005E0,9.059161377E-1,9.649867152E0
1.965435417E-1,-5.060975647E-1,9.609267426E0,9.241781616E-1,9.666864046E0
2.065405417E-1,-4.742138672E-1,9.679920502E0,9.135502625E-1,9.734490937E0
2.165365417E-1,-4.689747620E-1,9.783505096E0,8.274792480E-1,9.829630268E0
2.265325417E-1,-4.734654236E-1,9.828112335E0,7.229965210E-1,9.866036973E0
2.365295417E-1,-4.834945679E-1,9.828112335E0,6.378236389E-1,9.860647954E0
2.465255418E-1,-4.857398987E-1,9.834249573E0,6.256988525E-1,9.866098873E0
2.565215417E-1,-4.906796265E-1,9.825717316E0,6.673123169E-1,9.860567580E0
2.665185417E-1,-4.848417664E-1,9.835147705E0,7.285350037E-1,9.874004515E0
2.765145417E-1,-4.453239441E-1,9.841883698E0,7.726931763E-1,9.882208401E0
2.865105417E-1,-3.568579102E-1,9.847871246E0,8.180488586E-1,9.888231368E0
2.965075417E-1,-2.317181396E-1,9.812694397E0,8.244854736E-1,9.849997001E0
3.065035418E-1,-1.538800049E-1,9.814939728E0,8.229885864E-1,9.850585319E0
3.164995417E-1,-1.978884888E-1,9.850266266E0,7.804769897E-1,9.883119431E0
3.264965417E-1,-2.483335876E-1,9.873018951E0,7.116201782E-1,9.901746112E0
3.364925417E-1,-2.856060791E-1,9.909992065E0,6.261479187E-1,9.933860014E0
3.464885417E-1,-2.917433167E-1,1.000908600E1,5.547463989E-1,1.002869185E1
3.564855417E-1,-2.050735474E-1,1.012509476E1,4.513114929E-1,1.013722255E1
3.664815418E-1,4.221221924E-2,1.028975235E1,3.005749512E-1,1.029422802E1
3.764775418E-1,3.516188049E-1,1.059796143E1,1.969903564E-1,1.060562244E1
3.864745417E-1,5.980064392E-1,1.102921463E1,3.308120728E-2,1.104546429E1
3.964705417E-1,9.199868774E-1,1.144759460E1,-1.736389160E-1,1.148581510E1
4.064665417E-1,1.484912109E0,1.180744629E1,-3.597019958E-1,1.190588667E1
4.164635417E-1,1.943558350E0,1.215532288E1,-5.195695496E-1,1.232068366E1
4.264595417E-1,2.351609802E0,1.256876312E1,-5.869294739E-1,1.280032661E1
4.364555418E-1,2.573897552E0,1.301723053E1,-6.486012268E-1,1.328510154E1
4.464525417E-1,2.677182770E0,1.326391754E1,-9.425898743E-1,1.356419153E1
4.564485417E-1,2.824775848E0,1.335447922E1,-1.325343933E0,1.371415365E1
4.664445417E-1,2.849923553E0,1.314416656E1,-1.662442932E0,1.355193327E1
4.764415417E-1,2.653531952E0,1.265228943E1,-1.936672668E0,1.307181551E1
4.864375417E-1,2.096091156E0,1.208167603E1,-2.123334503E0,1.244463913E1
4.964335418E-1,1.243164825E0,1.144924118E1,-2.166744232E0,1.171859049E1
