"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.138458451E-3,-4.714773703E-1,1.513315836E0,-3.038329028E0,3.426931428E0
1.512945839E-2,-1.398724151E-1,1.753575589E0,-4.116683648E0,4.476793037E0
2.511945833E-2,-1.693248403E-1,2.238264450E0,-4.557338006E0,5.080140584E0
3.510945826E-2,-3.799178669E-1,2.536988173E0,-3.587734580E0,4.410497250E0
4.509945842E-2,-4.654804659E-1,2.333999158E0,-2.892305342E0,3.745618016E0
5.508945836E-2,-9.587720436E-1,2.125634067E0,-1.783520642E0,2.935729875E0
6.508045830E-2,-1.051153665E0,1.812597530E0,-4.965116394E-1,2.153359617E0
7.507045823E-2,-8.458397976E-1,1.543086058E0,8.016632062E-1,1.933707176E0
8.506045840E-2,-6.530825329E-1,1.217466313E0,1.821916384E0,2.286508326E0
9.505045833E-2,-6.317004347E-1,9.218600330E-1,1.865535443E0,2.174647983E0
1.050414583E-1,-7.112731460E-1,8.677433212E-1,1.420137239E0,1.809883349E0
1.150314584E-1,-5.385791400E-1,9.826446171E-1,8.005826408E-1,1.377167564E0
1.250214584E-1,-1.086278182E-1,1.279237761E0,3.847608232E-1,1.340257491E0
1.350114583E-1,1.392821386E-1,1.611784264E0,-3.089738917E-1,1.647031540E0
1.450024582E-1,5.150549144E-2,1.979053288E0,-9.778871763E-1,2.208068853E0
1.549924584E-1,8.414494157E-2,2.328003862E0,-1.238545525E0,2.638309567E0
1.649824583E-1,1.385559145E-1,2.456863485E0,-1.272807285E0,2.770453809E0
1.749724583E-1,-2.413783246E-1,2.588502435E0,-1.319285633E0,2.915325528E0
1.849624584E-1,-3.749170357E-1,2.544252754E0,-1.708670434E0,3.087610648E0
1.949534584E-1,-2.906735685E-1,2.538883548E0,-1.990754151E0,3.239370754E0
2.049434583E-1,-8.623444408E-2,2.611331135E0,-2.072197679E0,3.334739854E0
2.149334583E-1,-3.584021598E-2,2.575010278E0,-2.164687766E0,3.364199099E0
2.249234584E-1,-8.819238424E-2,2.489983576E0,-2.079065233E0,3.245043659E0
2.349144584E-1,-2.712137425E-1,2.419733227E0,-1.945413086E0,3.116616412E0
2.449044583E-1,-3.124757892E-1,2.458658872E0,-1.731642975E0,3.023447033E0
2.548944585E-1,-3.533492884E-1,2.449869045E0,-1.502127482E0,2.895358532E0
2.648844584E-1,-3.158864701E-1,2.407660627E0,-1.463329452E0,2.835127341E0
2.748744583E-1,-2.862685686E-1,2.423104293E0,-1.471922520E0,2.849550844E0
2.848654583E-1,-9.136537582E-2,2.471361656E0,-1.645702354E0,2.970574406E0
2.948552917E-1,2.911638576E-1,2.558429621E0,-1.801216071E0,3.142406379E0
3.048452917E-1,5.258637848E-1,2.540276062E0,-2.019932342E0,3.287805021E0
3.148352916E-1,5.635347641E-1,2.549269665E0,-2.153534787E0,3.384384632E0
3.248262918E-1,7.968161568E-1,2.619715165E0,-2.243987120E0,3.540240349E0
3.348162917E-1,1.100965803E0,2.713305699E0,-2.146502926E0,3.630651226E0
3.448062916E-1,1.351101210E0,2.788774542E0,-1.819619012E0,3.593570825E0
3.547962916E-1,1.606323695E0,2.757889256E0,-1.221511416E0,3.417355572E0
3.647862917E-1,1.908707775E0,2.712825642E0,-4.663300663E-1,3.349634617E0
3.747772917E-1,2.069940946E0,2.789507782E0,1.567457253E-1,3.477150904E0
3.847672916E-1,2.218042440E0,2.778763816E0,9.194992197E-1,3.672426912E0
3.947572918E-1,2.370488123E0,2.594898120E0,1.948654783E0,4.018701986E0
4.047472917E-1,2.419664083E0,2.229531926E0,3.376533735E0,4.714506014E0
4.147382916E-1,2.384569680E0,1.995186486E0,4.352504779E0,5.348947516E0
4.247282916E-1,2.378959276E0,1.919388738E0,4.999633677E0,5.860020245E0
4.347182917E-1,2.474995116E0,1.865410605E0,5.804017008E0,6.579663439E0
4.447082917E-1,2.038543152E0,1.816493676E0,5.978558734E0,6.572554450E0
4.546982916E-1,1.092486463E0,1.593583928E0,5.231438355E0,5.576825591E0
4.646892918E-1,4.614379933E-1,1.403183530E0,4.262215583E0,4.510912404E0
4.746792917E-1,2.633021674E-1,1.254840838E0,2.973850027E0,3.238477658E0
4.846692916E-1,1.117919805E0,1.541906528E0,2.391984242E0,3.057582222E0
4.946592916E-1,2.300855970E0,2.112960958E0,2.462085341E0,3.977487452E0
5.046502918E-1,2.507065632E0,2.248179135E0,2.530760304E0,4.212414417E0
5.146402917E-1,2.310248938E0,2.089881559E0,2.106855880E0,3.760810655E0
5.246302916E-1,1.937863162E0,2.080858575E0,2.185407375E0,3.586264273E0
5.346202918E-1,1.511621898E0,1.847974500E0,2.512901738E0,3.466220659E0
5.446112917E-1,1.176400148E0,1.451050737E0,3.066796782E0,3.590920224E0
5.546012917E-1,1.004812143E0,9.711497220E-1,3.633305440E0,3.892773773E0
5.645912916E-1,9.172150049E-1,3.755586945E-1,3.535535316E0,3.671830289E0
5.745812918E-1,5.720971343E-1,-2.172755535E-1,2.988984960E0,3.050989165E0
5.845712917E-1,9.724884421E-2,-6.975833523E-1,1.981965201E0,2.103393907E0
5.945622916E-1,1.253283432E-1,-8.106674798E-1,1.269065067E0,1.511097317E0
6.045522916E-1,2.503377208E-1,-5.304502312E-1,5.657093436E-1,8.149070398E-1
6.145422917E-1,2.755061835E-1,-2.246722448E-1,-2.071288437E-1,4.114409224E-1
6.245322917E-1,3.383093727E-1,-8.235417696E-2,-5.434940171E-1,6.454619964E-1
6.345232916E-1,4.525660130E-1,-1.477787825E-1,-7.535423756E-1,8.913364553E-1
6.445132918E-1,4.418276015E-1,-1.997867691E-1,-8.358565539E-1,9.663242526E-1
6.545032917E-1,1.507742563E-1,-2.765287884E-1,-7.450025171E-1,8.088447303E-1
6.644932916E-1,-1.773571604E-1,-1.012899463E-1,-7.464953113E-1,7.739318221E-1
6.744832916E-1,-5.331789440E-1,2.378179002E-1,-9.583364260E-1,1.122161239E0
6.844742917E-1,-1.025995435E0,5.189676518E-1,-1.173628567E0,1.642984501E0
6.944642917E-1,-1.693079126E0,8.326082063E-1,-1.642662386E0,2.501618090E0
7.044542916E-1,-2.303994463E0,1.209973764E0,-2.224182601E0,3.423363147E0
7.144442918E-1,-2.750619705E0,1.495029547E0,-2.566765704E0,4.048371066E0
7.244352917E-1,-2.928453999E0,1.619006306E0,-2.755590423E0,4.334778290E0
7.344252917E-1,-3.063906211E0,1.450184472E0,-2.992259985E0,4.521523647E0
7.444152916E-1,-3.020047708E0,1.038278024E0,-3.250882334E0,4.557076405E0
7.544052918E-1,-2.538005881E0,6.671417975E-1,-3.128120041E0,4.083097724E0
7.643952917E-1,-1.723323557E0,3.484798368E-1,-2.645986120E0,3.176873436E0
7.743862916E-1,-7.243291014E-1,5.164053654E-1,-2.168127683E0,2.343524013E0
7.843762916E-1,1.002619144E-1,8.639154415E-1,-2.253060245E0,2.415094783E0
7.943662917E-1,1.730503938E-1,1.006673531E0,-2.595356249E0,2.789123894E0
8.043562917E-1,-5.843005657E-2,1.004519489E0,-2.578736708E0,2.768096184E0
8.143472916E-1,-4.981444743E-1,9.936990707E-1,-2.576534647E0,2.806085627E0
8.243372918E-1,-1.161385083E0,9.923646630E-1,-2.891237056E0,3.269993065E0
