"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.739701748E-2,6.507814271E1,2.545187225E1,4.840925217E0,2.233467963E1,NaN,NaN,1.417179889E-2,1.616180551E2,6.000000000E0,-1.000000000E0
5.992302895E-1,6.507819270E1,2.545215047E1,1.566009712E1,3.315383606E1,2.369999886E0,1.462500000E2,1.665320139E-2,8.151602993E0,1.600000000E1,-1.000000000E0
1.772222519E0,6.507819811E1,2.545220185E1,3.516571045E0,2.101030561E1,2.369999886E0,9.210937500E1,1.850104738E-2,3.598864627E0,8.000000000E0,-1.000000000E0
2.772212863E0,6.507820921E1,2.545223119E1,1.493755341E0,1.898749057E1,1.490000010E0,7.136718750E1,2.018254629E-2,3.535533906E0,4.000000000E0,-1.000000000E0
3.772206068E0,6.507821735E1,2.545226145E1,1.233638763E0,1.872737337E1,1.409999967E0,7.945312500E1,2.177561689E-2,3.535533906E0,3.000000000E0,-1.000000000E0
4.772193551E0,6.507822527E1,2.545228978E1,9.555149078E-1,1.844924905E1,1.440000057E0,6.925781250E1,2.351151913E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.772182822E0,6.507823520E1,2.545231836E1,1.854457855E-1,1.767918023E1,1.539999962E0,6.398437500E1,2.526977291E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.772617817E0,6.507824622E1,2.545234527E1,1.183185577E-1,1.761205394E1,1.539999962E0,5.660156250E1,2.701404270E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.772653580E0,6.507825779E1,2.545237041E1,-1.198921204E-1,1.737384465E1,1.539999962E0,5.273437500E1,2.870880167E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.772667885E0,6.507826936E1,2.545239396E1,-2.750339508E-1,1.721870439E1,1.490000010E0,4.992187500E1,3.036848430E-2,3.535533906E0,3.000000000E0,-1.000000000E0
9.772699714E0,6.507828126E1,2.545241534E1,-2.473773956E-1,1.724636294E1,1.490000010E0,4.429687500E1,3.199990018E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.077272367E1,6.507829400E1,2.545243260E1,-4.719829559E-1,1.702176022E1,1.480000019E0,3.691406250E1,3.364839516E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.177273452E1,6.507830720E1,2.545244861E1,-3.546085358E-1,1.713913782E1,1.480000019E0,3.164062500E1,3.522407220E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.277276492E1,6.507832057E1,2.545245976E1,-5.402164459E-1,1.695353377E1,1.399999976E0,2.460937500E1,3.662004921E-2,3.535533906E0,3.000000000E0,-1.000000000E0
1.377279103E1,6.507833198E1,2.545247216E1,-5.402085986E-1,1.695354455E1,1.399999976E0,2.460938624E1,3.839642940E-2,4.660515088E0,3.479099904E0,-1.000000000E0
1.477280116E1,6.507834791E1,2.545247511E1,-2.692200951E-1,1.722453896E1,1.549999952E0,1.687500867E1,4.012653412E-2,4.660515170E0,3.479099795E0,-1.000000000E0
1.577282751E1,6.507836335E1,2.545247043E1,-2.083260817E-1,1.728543966E1,1.549999952E0,6.328128294E0,4.178903177E-2,4.660515254E0,3.479099683E0,-1.000000000E0
1.677284849E1,6.507837810E1,2.545246464E1,3.202463966E-2,1.752579693E1,1.549999952E0,1.054688050E0,4.336589201E-2,4.660515335E0,3.479099574E0,-1.000000000E0
1.777285123E1,6.507839206E1,2.545245873E1,1.867392091E-1,1.768051776E1,1.490000010E0,3.585937493E2,4.490425609E-2,4.660515414E0,3.479099468E0,-1.000000000E0
1.877286780E1,6.507840576E1,2.545245415E1,3.139917860E-1,1.780777632E1,1.490000010E0,3.578906239E2,4.611068099E-2,4.660515490E0,3.479099366E0,-1.000000000E0
1.977288365E1,6.507841661E1,2.545245446E1,6.231310209E-1,1.811691979E1,1.399999976E0,1.406250662E0,4.694230515E-2,4.660515552E0,3.479099283E0,-1.000000000E0
2.077288210E1,6.507842354E1,2.545246113E1,1.388691116E0,1.888248178E1,1.120000005E0,1.019531632E1,4.835552833E-2,4.660515597E0,3.479099223E0,-1.000000000E0
2.177287817E1,6.507843623E1,2.545245955E1,1.627577023E0,1.912137289E1,1.269999981E0,7.031252997E0,5.036020438E-2,4.660515663E0,3.479099135E0,-1.000000000E0
2.277287412E1,6.507845425E1,2.545246048E1,4.554484086E-1,1.794925127E1,1.559999943E0,6.328128315E0,5.214084187E-2,4.660515755E0,3.479099012E0,-1.000000000E0
2.377286947E1,6.507847020E1,2.545246403E1,-1.142947929E0,1.635086077E1,1.409999967E0,7.382815993E0,5.394969763E-2,4.660515846E0,3.479098890E0,-1.000000000E0
